crash_rate_exp,crash_rate_ctrl,active_dims
3.800000000000000044e-01,3.800000000000000044e-01,3.200000000000000000e+01
0.000000000000000000e+00,2.959999999999999853e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000178e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000155e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.699999999999999956e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.059999999999999942e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.260000000000000120e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.519999999999999796e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.420000000000000262e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.220000000000000084e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.899999999999999800e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.659999999999999920e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.260000000000000120e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.220000000000000084e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.039999999999999925e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.959999999999999853e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.939999999999999836e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.439999999999999725e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.340000000000000191e-01,1.000000000000000000e+00
3.220000000000000084e-01,3.220000000000000084e-01,3.200000000000000000e+01
0.000000000000000000e+00,3.160000000000000031e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.899999999999999800e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.939999999999999836e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.619999999999999885e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.079999999999999960e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.280000000000000138e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.099999999999999978e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.099999999999999978e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.180000000000000049e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.879999999999999782e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.320000000000000173e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.079999999999999960e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.240000000000000102e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000155e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.879999999999999782e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.140000000000000013e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.679999999999999938e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.079999999999999960e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.499999999999999778e-01,1.000000000000000000e+00
3.220000000000000084e-01,3.220000000000000084e-01,3.200000000000000000e+01
0.000000000000000000e+00,3.220000000000000084e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.780000000000000249e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000209e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.240000000000000102e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000209e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000266e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.959999999999999853e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000209e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.220000000000000084e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.039999999999999925e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.479999999999999760e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.099999999999999978e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.079999999999999960e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.119999999999999996e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.859999999999999765e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.240000000000000102e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000155e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000244e-01,0.000000000000000000e+00
3.200000000000000067e-01,3.200000000000000067e-01,3.200000000000000000e+01
0.000000000000000000e+00,3.459999999999999742e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.340000000000000191e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.119999999999999996e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.579999999999999849e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000155e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.579999999999999849e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.959999999999999853e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.240000000000000102e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.340000000000000191e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000209e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.180000000000000049e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.039999999999999925e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.160000000000000031e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.439999999999999725e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000155e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.260000000000000120e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,0.000000000000000000e+00
3.380000000000000226e-01,3.380000000000000226e-01,3.200000000000000000e+01
0.000000000000000000e+00,2.979999999999999871e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.260000000000000120e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.320000000000000173e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.119999999999999996e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000155e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000209e-01,2.000000000000000000e+00
0.000000000000000000e+00,2.979999999999999871e-01,2.000000000000000000e+00
0.000000000000000000e+00,2.999999999999999889e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.420000000000000262e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.220000000000000084e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.380000000000000226e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.180000000000000049e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.039999999999999925e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.019999999999999907e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.659999999999999920e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.260000000000000120e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000067e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.119999999999999996e-01,2.000000000000000000e+00
3.140000000000000013e-01,3.140000000000000013e-01,3.200000000000000000e+01
0.000000000000000000e+00,2.919999999999999818e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.979999999999999871e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.059999999999999942e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.019999999999999907e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000155e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.260000000000000120e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.220000000000000084e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.019999999999999907e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.380000000000000226e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.119999999999999996e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.380000000000000226e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.240000000000000102e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.119999999999999996e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000209e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.019999999999999907e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000244e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000209e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.240000000000000102e-01,1.000000000000000000e+00
0.000000000000000000e+00,3.019999999999999907e-01,1.000000000000000000e+00
0.000000000000000000e+00,2.740000000000000213e-01,1.000000000000000000e+00
3.340000000000000191e-01,3.340000000000000191e-01,3.200000000000000000e+01
0.000000000000000000e+00,2.959999999999999853e-01,1.000000000000000000e+00
